id,value,feed_id,created_at,lat,lon,ele
0FVCPV5R247CZK3VPH4MYGJZE6,19,3047082,2025-03-31 06:51:35 UTC,,,
0FVCPV6B0DXKMHSB243XHSP67T,13,3047082,2025-03-31 06:51:37 UTC,,,
0FVCPV6YHYZGCN0H9H2W0WYJH7,13,3047082,2025-03-31 06:51:39 UTC,,,
0FVCPV7J57YC4AHVKFNCW07DQA,18,3047082,2025-03-31 06:51:41 UTC,,,
0FVCPV85R8EC1F4KGPJ4NRZHX8,12,3047082,2025-03-31 06:51:43 UTC,,,
0FVCPV8SDWDYS53B21DKX813JN,12,3047082,2025-03-31 06:51:45 UTC,,,
0FVCPV9CYM4NN6QX1FFBX1KYGD,18,3047082,2025-03-31 06:51:47 UTC,,,
0FVCPVA0JPNGMM7J0DGNMBX216,17,3047082,2025-03-31 06:51:49 UTC,,,
0FVCPVAM6S82SMP4XC8VZAD0R6,17,3047082,2025-03-31 06:51:51 UTC,,,
0FVCPVB7TAWX5RD41G7QST9SBP,17,3047082,2025-03-31 06:51:53 UTC,,,
0FVCPVBW4TDD0WEDPCNSK34AWC,13,3047082,2025-03-31 06:51:55 UTC,,,
0FVCPVCF4TMY9PTVECT40GWSV2,13,3047082,2025-03-31 06:51:57 UTC,,,
0FVCPVD2MEAC1E5V79BQN5E6PW,20,3047082,2025-03-31 06:51:59 UTC,,,
0FVCPVDPGS6YXBSGCAN6A6W4PP,11,3047082,2025-03-31 06:52:01 UTC,,,
0FVCPVE9TGYX2DVF05BAZEV53F,20,3047082,2025-03-31 06:52:03 UTC,,,
0FVCPVEXHN2SJVHM513QMT4MZD,17,3047082,2025-03-31 06:52:05 UTC,,,
0FVCPVFH22ZPFABJPSP1YWT755,20,3047082,2025-03-31 06:52:07 UTC,,,
0FVCPVG4K5YK2PZ85GXRB2Q184,10,3047082,2025-03-31 06:52:09 UTC,,,
0FVCPYDZ8KH1AAVRFH1GZMHMED,14,3047082,2025-03-31 06:57:16 UTC,,,
0FVCPYFG7RK9PPXJBZ9P1MX3DX,11,3047082,2025-03-31 06:57:21 UTC,,,
0FVCPYH1GNG2AR4SW44H51YFMV,15,3047082,2025-03-31 06:57:26 UTC,,,
0FVCPYJJF3YB1XWKE1PWSMHCMD,11,3047082,2025-03-31 06:57:31 UTC,,,
0FVCPYM3Q38J5180T1VTEE0JAV,13,3047082,2025-03-31 06:57:36 UTC,,,
0FVCPYNMFRSWHYZJABP85FW2J3,18,3047082,2025-03-31 06:57:41 UTC,,,
0FVCPYQ5CXPPBQJBYD0XRFN9CQ,18,3047082,2025-03-31 06:57:46 UTC,,,
0FVCPYRPJMNMPJ7EV69WNPMYMW,19,3047082,2025-03-31 06:57:51 UTC,,,
0FVCPYT7JV3BN3G217FJKSSTVM,12,3047082,2025-03-31 06:57:56 UTC,,,
0FVCPYVRH2F5V8KK23W35Q7JYZ,20,3047082,2025-03-31 06:58:01 UTC,,,
0FVCPYX9NA7H0ZXMK5MNPPT389,18,3047082,2025-03-31 06:58:06 UTC,,,
0FVCPYYTMKWEBJW78RQKB8C8XT,12,3047082,2025-03-31 06:58:11 UTC,,,
0FVCPZ0BQVZ4T19RQCQJS6T1PC,10,3047082,2025-03-31 06:58:16 UTC,,,
0FVCPZ1WQ14DGBHV7KMJYQ5BWF,15,3047082,2025-03-31 06:58:22 UTC,,,
0FVCPZ3DR007K34RYV7YZB6DR4,16,3047082,2025-03-31 06:58:27 UTC,,,
0FVCPZ4YV7M91XR2PCK27FWM77,18,3047082,2025-03-31 06:58:32 UTC,,,
0FVCPZ6FVSJNZ1JWT6430B9SPV,18,3047082,2025-03-31 06:58:37 UTC,,,
0FVCPZ80RZ082XWFZD14QQ5B1F,11,3047082,2025-03-31 06:58:42 UTC,,,
0FVCPZ9HTSTSJYRF5YRF1CMGQS,10,3047082,2025-03-31 06:58:47 UTC,,,
0FVCPZB2VW7ZH1BNX629HPZ7ZB,20,3047082,2025-03-31 06:58:52 UTC,,,
0FVCPZCKYY1DQF8WTEGBM2X32V,14,3047082,2025-03-31 06:58:57 UTC,,,
0FVCPZE4Z6T0RP7AHAHNFH5VQK,20,3047082,2025-03-31 06:59:02 UTC,,,
0FVCPZFP1YD6SXBEQFBBW0X219,18,3047082,2025-03-31 06:59:07 UTC,,,
0FVCPZH7A6DWTFAEE1PTG293JH,16,3047082,2025-03-31 06:59:12 UTC,,,
0FVCPZJR1YJ3V25GJT7ZDJ48QS,12,3047082,2025-03-31 06:59:17 UTC,,,
0FVCPZM90AJQ5JC4HC1NQHT9BJ,12,3047082,2025-03-31 06:59:22 UTC,,,
0FVCPZNT0XE1TFE7TYZDJKV7NT,11,3047082,2025-03-31 06:59:27 UTC,,,
0FVCPZQB9VBB6E3012PJ3XYY9D,13,3047082,2025-03-31 06:59:32 UTC,,,
0FVCPZRW06JAR4RYSHJ40Z0F8P,17,3047082,2025-03-31 06:59:37 UTC,,,
0FVCPZTD0VHFVXMG4ZDDZWAXZ5,13,3047082,2025-03-31 06:59:42 UTC,,,
0FVCPZVXZKCR67MG87D7328XA3,15,3047082,2025-03-31 06:59:47 UTC,,,
0FVCPZXEYVH3173PFEWZ11KH7D,14,3047082,2025-03-31 06:59:52 UTC,,,
0FVCPZZ0VNF1KBY3RKP0E6CNZZ,11,3047082,2025-03-31 06:59:57 UTC,,,
0FVCQ00H8BN14PVH4C3H3Z3GE1,17,3047082,2025-03-31 07:00:02 UTC,,,
0FVCQ0224P1KH3TBQV6Z2103SV,20,3047082,2025-03-31 07:00:07 UTC,,,
0FVCQ03K7ZY8YMET2X1MCAEXXV,16,3047082,2025-03-31 07:00:12 UTC,,,
0FVCQ054667SSBPRSPY4GBA0AP,12,3047082,2025-03-31 07:00:17 UTC,,,
0FVCQ06N69BF9QK1BTC49HSB4N,14,3047082,2025-03-31 07:00:22 UTC,,,
0FVCQ086D490WT9BRSXMN5AGGM,10,3047082,2025-03-31 07:00:27 UTC,,,
0FVCQ09Q5AW01D24C7DKPRHDBT,10,3047082,2025-03-31 07:00:32 UTC,,,
0FVCQ0B84QBM4HFH2XXMA0MXZ4,18,3047082,2025-03-31 07:00:37 UTC,,,
0FVCQ0CS47837W4RHTX6WPYCTZ,20,3047082,2025-03-31 07:00:42 UTC,,,
0FVCQ0EA8NBEGW323NA0899T22,20,3047082,2025-03-31 07:00:47 UTC,,,
0FVCQ0FV3N3XP8YBV3NJ1V3JGK,11,3047082,2025-03-31 07:00:52 UTC,,,
0FVCQ0HC4ZYEWNTJNVTFC1738Q,20,3047082,2025-03-31 07:00:57 UTC,,,
0FVCQ0JX6CT554WEPNF3VN7SJZ,17,3047082,2025-03-31 07:01:02 UTC,,,
0FVCQ0ME4BW1R43X1Z8Y0JNBHW,16,3047082,2025-03-31 07:01:07 UTC,,,
0FVCQ0NZ69KR7Q5ESX8YE9TPYE,13,3047082,2025-03-31 07:01:12 UTC,,,
0FVCQ0QG798RYC2YQP3RPC8200,10,3047082,2025-03-31 07:01:17 UTC,,,
0FVCQ0S18BJT0DPW61EGRFQF1X,16,3047082,2025-03-31 07:01:22 UTC,,,
0FVCQ0TJ8EK4Z8D3FD0MJQ8G5Z,20,3047082,2025-03-31 07:01:27 UTC,,,
0FVCQ0W39942R8PYN5BQFK79RT,18,3047082,2025-03-31 07:01:32 UTC,,,
0FVCQ0XM9RDRXDRMSB2WWM2BAM,10,3047082,2025-03-31 07:01:37 UTC,,,
0FVCQ0Z5C424HC0EVMXFZXGT68,20,3047082,2025-03-31 07:01:42 UTC,,,
0FVCQ10PDHNV0QKB9WGH8P136N,11,3047082,2025-03-31 07:01:47 UTC,,,
0FVCQ127EKA8WN33XR0X09YXSC,20,3047082,2025-03-31 07:01:52 UTC,,,
0FVCQ13RDQMZQHM0VHNN9THZ50,10,3047082,2025-03-31 07:01:57 UTC,,,
0FVCQ159B0CCPPNH5RN92CZQ5M,11,3047082,2025-03-31 07:02:02 UTC,,,
0FVCQ16TAE5YYDCXT4X7SRK95T,12,3047082,2025-03-31 07:02:07 UTC,,,
0FVCQ18BAN7NJT64Z9G0FPDPRT,20,3047082,2025-03-31 07:02:12 UTC,,,
0FVCQ19WCW1GZY03KA5Q6R661Y,19,3047082,2025-03-31 07:02:17 UTC,,,
0FVCQ1BDAFCX2PA03QCW1VPQRT,10,3047082,2025-03-31 07:02:22 UTC,,,
0FVCQ1CYBK1KGPF0J31568W2AP,15,3047082,2025-03-31 07:02:27 UTC,,,
0FVCQ1EG3W7ADQP8P7QW8QSVP5,20,3047082,2025-03-31 07:02:33 UTC,,,
0FVCQ1G0ESDE9BVR5BNKPWHFFY,11,3047082,2025-03-31 07:02:37 UTC,,,
0FVCQ1HHDEEE6CMJ1HY874SM56,15,3047082,2025-03-31 07:02:42 UTC,,,
0FVCQ1K2HQCPFQVSD4KQDM1AS3,19,3047082,2025-03-31 07:02:48 UTC,,,
0FVCQ1MKHN9CNHZA61SMRK6HQ0,18,3047082,2025-03-31 07:02:53 UTC,,,
0FVCQ1P4HQ5MJ7XTYT2TPE9XFP,12,3047082,2025-03-31 07:02:58 UTC,,,
0FVCQ1QNKV9J3KRBVXS6XV0PKV,18,3047082,2025-03-31 07:03:03 UTC,,,
0FVCQ1S6N4Y9EDQYN0NHYRM34D,17,3047082,2025-03-31 07:03:08 UTC,,,
0FVCQ1TQS8MMY1YEAZBCDC79FB,11,3047082,2025-03-31 07:03:13 UTC,,,
0FVCQ1W930GBX8RES86RNT3Q7N,18,3047082,2025-03-31 07:03:18 UTC,,,
0FVCQ1XSH1BCFKZ363CZ7PXH7S,10,3047082,2025-03-31 07:03:23 UTC,,,
0FVCQ1ZAFSF1DZ9GEGS594K6V0,13,3047082,2025-03-31 07:03:28 UTC,,,
